,name,roast,acid,body,desc_1,region,keyword,new_keyword,cluster
0,Wilton Benitez Geisha,0.4,0.9,0.9,"Richly floral-toned, exceptionally sweet. Distinct narcissus, cocoa nib, myrrh, blackberry, lemon thyme in aroma and cup. Complex bittersweet structure with floral acidity; very full, syrupy-smooth mouthfeel. Engaging, satisfying finish that carries over all aromas and flavors from the cup.",south_america,"['floral', 'cocoa']","chocolate, floral",2
1,Colombia Cerro Azul Geisha,0.2,0.9,0.9,"Richly aromatic, chocolaty, fruit-toned. Dark chocolate, dried mango, honeysuckle, wine barrel, marjoram in aroma and cup. Richly sweet structure with winey acidity; plush, syrupy-smooth mouthfeel. The long, lingering finish centers around notes of dark chocolate and spicy florals.",south_america,"['chocolate', 'chocolaty', 'florals', 'mango']","fruity, chocolate, floral",1
2,Yirgacheffe Mengesha Natural,0.4,0.9,0.9,"High-toned, fruit-driven. Boysenberry, pear, cocoa nib, tangerine zest, pink peppercorn in aroma and cup. Sweetly tart structure with juicy-bright acidity; crisp, velvety mouthfeel. The finish consolidates to notes of boysenberry and tangerine zest with undertones of pink peppercorn.",africa_arabia,"['boysenberry', 'peppercorn', 'tangerine', 'fruit', 'cocoa']","fruity, chocolate, spicy, berry",2
3,Colombia Tolima Finca El Mirador Washed Anaerobic,0.4,0.9,0.8,"Delicately fruit-toned. Guava, ginger blossom, cocoa nib, cedar, agave syrup in aroma and cup. Sweet-toned structure with juicy acidity; crisp, satiny mouthfeel. Cocoa-toned finish, supported by notes of cedar and agave.",south_america,"['cocoa', 'syrup', 'guava', 'fruit', 'agave']","fruity, sweety, chocolate, green",3
4,Panama Geisha Finca Debra Symbiosis,0.2,0.9,0.9,"Richly fruit-forward, floral-toned. Lychee, tea rose, dark chocolate, orange zest, sandalwood in aroma and cup. Savory-leaning structure with bright acidity; full, satiny-smooth mouthfeel. Cedar notes support the crisply fruit-toned finish. ",central_america,"['floral', 'cedar', 'fruit', 'chocolate']","fruity, chocolate, green, floral",1
5,Panama Geisha Finca Debra Echo,0.2,0.9,0.9,"High-toned, richly bittersweet. Pomelo, raspberry, cocoa nib, limoncello, a hint of sage in aroma and cup. Bittersweet structure with juicy acidity; crisp, syrupy mouthfeel. The resonant finish leads with notes of pomelo and sage, rounding to cocoa nib in the long.",central_america,"['cocoa', 'nib', 'syrupy', 'bittersweet']","sweety, chocolate",2
6,Panama Geisha Finca Debra Vivid,0.2,0.8,0.9,"Crisply sweet-tart. Apricot, cocoa nib, agave syrup, narcissus, almond in aroma and cup. Sweetly tart structure with brisk acidity; plush, satiny mouthfeel. Sweetly nut-toned finish with undertones of narcissus.",central_america,"['cocoa', 'apricot', 'sweetly', 'syrup', 'almond']","fruity, sweety, chocolate, nutty",3
7,Ethiopia Hamasho Washed,0.2,0.9,0.9,"High-toned, juicy-sweet. Mango, cocoa nib, magnolia, lemongrass, pink peppercorn in aroma and cup. Sweet-tart structure with bright, balanced acidity; syrupy-smooth mouthfeel. Flavor-laden finish, long and lingering, centered around notes of mango and cocoa nib.",africa_arabia,"['cocoa', 'mango', 'peppercorn', 'syrupy']","fruity, sweety, chocolate, spicy",2
8,Ethiopia Idido Anaerobic Natural,0.4,0.9,0.9,"Richly spice-toned, floral-driven. Bergamot, lilac, cocoa nib, blackberry, wild honey in aroma and cup. Complex, bittersweet structure with juicy, balanced acidity; plush, creamy mouthfeel. The long, flavor-saturated finish carries over all the nuance of the cup.",africa_arabia,"['floral', 'lilac', 'bergamot', 'spice']","fruity, spicy, floral",2
9,Mexico Cup of Excellence #7,0.2,0.9,0.9,"High-toned, crisply sweet-tart. Lemongrass, cocoa nib, tea rose, magnolia, sandalwood in aroma and cup. Brightly sweet structure with juicy, sparkling acidity; plush, satiny mouthfeel. The resonant finish leads with notes of lemongrass and cocoa nib, with undertones of magnolia.",,"['lemongrass', 'cocoa', 'sandalwood', 'tea']","chocolate, green",2
